"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCBENHH","INKIND","PC_GDP","A","1970",6.68664404764853,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1971",7.15055211419337,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1972",7.45319178824426,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1973",7.54298207837811,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1974",8.76299507555032,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1975",9.93799249193423,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1976",9.66166507336132,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1977",9.7246274763545,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1978",9.49835422471778,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1979",9.10407414558795,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1980",9.64109966537629,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1981",9.93366189737206,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1982",10.2089391548493,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1983",10.1246222504982,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1984",10.4921542474109,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1985",11.1466971470654,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1986",10.9236886053483,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1987",10.2274933810861,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1988",9.75295060370235,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1989",9.69179546628634,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1990",10.3722488337873,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1991",10.8692364763646,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1992",10.7530536808504,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1993",10.4871650900737,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1994",10.6581313356569,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1995",10.5953813209846,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1996",10.4025657205213,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1997",10.5177619802935,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1998",11.1910636406388,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1999",11.2751276215692,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2000",11.0884291144348,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2001",11.0360399111145,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2002",11.0283984000199,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2003",11.1253829359679,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2004",11.2716028419114,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2005",11.107472086343,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2006",10.8146399272582,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2007",10.8988212055725,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2008",11.22971785083,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2009",11.4482929068248,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2010",11.4898956060309,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2011",11.2976095543151,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2012",11.3048617140507,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2013",11.2376005049567,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2014",11.5953787779377,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2015",11.9917188661217,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2016",12.0403748279159,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2017",12.1648708101051,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2018",12.3943340656901,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2019",13.1460179537637,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2020",13.3841152195684,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1995",11.3876860574575,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1996",11.3810013406312,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1997",11.7129766808376,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1998",11.8447321295743,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1999",11.9314990420925,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2000",11.6568420583495,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2001",11.6025759972517,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2002",11.7629365212868,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2003",11.9071107931832,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2004",11.6819778281057,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2005",11.5317353303077,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2006",11.589095021011,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2007",11.5112556090178,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2008",11.7864702064335,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2009",12.4832030881946,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2010",12.4268494566211,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2011",12.1454753649663,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2012",12.191551663841,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2013",12.3203591612737,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2014",12.3291954186943,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2015",12.3551297337842,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2016",12.3728289597589,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2017",12.2990307581018,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2018",12.2320525229426,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2019",12.4085935715099,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2020",13.4914991162093,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2021",14.2026123296283,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1995",12.7259321266517,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1996",13.2641208920182,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1997",12.8406547925828,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1998",12.9914479945732,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1999",13.0705764078386,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2000",12.9060631165739,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2001",12.9474390252668,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2002",13.3795464251641,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2003",13.7826715628225,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2004",13.6941045355143,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2005",13.6058336150196,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2006",13.5245262592976,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2007",13.3710340147181,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2008",14.1497303003243,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2009",15.160786070364,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2010",14.9321983443855,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2011",15.2822395960505,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2012",15.4081041559688,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2013",15.51326104663,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2014",15.4625036569179,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2015",15.1690635068661,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2016",15.1077937330106,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2017",15.06340522112,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2018",15.089644086168,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2019",15.0175362146408,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2020",16.0229806790204,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2021",15.4505315715361,
"CZE","SOCBENHH","INKIND","PC_GDP","A","1995",10.3257144933365,
"CZE","SOCBENHH","INKIND","PC_GDP","A","1996",10.158889821266,
"CZE","SOCBENHH","INKIND","PC_GDP","A","1997",9.96035563240224,
"CZE","SOCBENHH","INKIND","PC_GDP","A","1998",9.77017783350273,
"CZE","SOCBENHH","INKIND","PC_GDP","A","1999",9.7177386602562,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2000",9.59213238631197,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2001",9.64047510668343,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2002",10.7486040412013,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2003",11.1108317053026,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2004",10.7610173658348,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2005",10.1890947805287,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2006",9.83595878762269,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2007",9.52503839195053,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2008",9.50292614634195,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2009",10.463037892735,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2010",10.528141412067,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2011",10.5252093445056,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2012",10.5245111658065,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2013",10.6040319000794,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2014",10.4918902674465,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2015",10.1589967349696,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2016",10.1518635160864,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2017",10.1074540433749,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2018",10.4523189991205,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2019",10.7590126077916,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2020",12.3422286158787,
"CZE","SOCBENHH","INKIND","PC_GDP","A","2021",12.5581082399596,
"DNK","SOCBENHH","INKIND","PC_GDP","A","1995",16.409827595043,
"DNK","SOCBENHH","INKIND","PC_GDP","A","1996",16.3789632642437,
"DNK","SOCBENHH","INKIND","PC_GDP","A","1997",15.9017822586331,
"DNK","SOCBENHH","INKIND","PC_GDP","A","1998",16.3275743235074,
"DNK","SOCBENHH","INKIND","PC_GDP","A","1999",16.4449124586397,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2000",16.1447089240098,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2001",16.5494466690538,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2002",17.1062863365483,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2003",17.3333415741475,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2004",17.2667903194564,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2005",16.8870537970124,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2006",16.702112956774,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2007",16.8304219284612,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2008",17.331513444672,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2009",19.3891039231971,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2010",19.1319842078924,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2011",18.6390517135155,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2012",18.4868909396031,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2013",18.3082968691226,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2014",18.3340611029402,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2015",18.1460392926017,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2016",17.7850146326738,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2017",17.3679410318766,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2018",17.2617137151794,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2019",17.0273773437896,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2020",17.4716476960549,
"DNK","SOCBENHH","INKIND","PC_GDP","A","2021",17.2912248623767,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1975",10.0358040905327,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1976",10.89907759843,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1977",11.2364925959562,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1978",11.1640431485251,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1979",10.9580806556365,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1980",11.049707341712,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1981",11.4324743215909,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1982",11.4734948484919,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1983",11.6330206064667,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1984",11.9678264122709,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1985",12.6294102498068,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1986",12.9791204759702,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1987",13.1859530982338,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1988",12.7328180597735,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1989",12.7184454715861,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1990",13.6149254059521,
"FIN","SOCBENHH","INKIND","PC_GDP","A","1991",15.4086928503205,
